Song,Artist,Compound,Negitive,Neutral,Positive
The Boy,Alabama,0.9413,0.056,0.824,0.121
The Woman He Loves,Alabama,0.9964,0.041,0.708,0.251
Then Again,Alabama,0.9908,0.084,0.674,0.242
All Our Yesterdays,Alan Parsons Project,0.7806,0.095,0.802,0.103
Can't Take It With You,Alan Parsons Project,0.4678,0.081,0.809,0.11
Days Are Numbers,Alan Parsons Project,-0.8441,0.046,0.949,0.005
Don't Answer Me,Alan Parsons Project,-0.9199,0.094,0.895,0.011
Don't Let The Moment Pass,Alan Parsons Project,0.9682,0.01,0.866,0.124
Eye In The Sky,Alan Parsons Project,-0.9935,0.169,0.79,0.041
Fall Free,Alan Parsons Project,0.9798,0.07,0.729,0.201
Games People Play,Alan Parsons Project,0.906,0.073,0.831,0.096
Gemini,Alan Parsons Project,0.6597,0.04,0.854,0.106
I'd Rather Be A Man,Alan Parsons Project,0.9852,0.11,0.687,0.203
May Be A Price To Pay,Alan Parsons Project,-0.975,0.184,0.775,0.041
Mr. Time,Alan Parsons Project,0.5122,0.098,0.792,0.11
So Far Away,Alan Parsons Project,0.9861,0.056,0.79,0.154
Somebody Out There,Alan Parsons Project,-0.9334,0.138,0.78,0.083
Take The Money And Run,Alan Parsons Project,-0.9611,0.134,0.785,0.081
The Cask Of Amontillado,Alan Parsons Project,0.0258,0.063,0.88,0.057
The Eagle Will Rise Again,Alan Parsons Project,0.4713,0.038,0.901,0.061
The Fall Of The House Of Usher - I Prelude,Alan Parsons Project,0.1655,0.029,0.914,0.057
The Raven,Alan Parsons Project,-0.2154,0.115,0.797,0.088
The Real World,Alan Parsons Project,-0.5921,0.111,0.792,0.096
The Ring,Alan Parsons Project,0.8834,0.096,0.768,0.136
The Same Old Sun,Alan Parsons Project,0.9789,0.065,0.793,0.142
(The System Of) Doctor Tarr And Professor Fether,Alan Parsons Project,0.993,0.009,0.771,0.22
The Tell-Tale Heart,Alan Parsons Project,-0.9756,0.207,0.755,0.038
The Turn Of A Friendly Card,Alan Parsons Project,0.9638,0.068,0.776,0.156
The Turn Of A Friendly Card (Part 1),Alan Parsons Project,0.7783,0.027,0.889,0.084
The Turn Of A Friendly Card (Part One),Alan Parsons Project,0.9578,0.071,0.777,0.152
The Voice,Alan Parsons Project,-0.9593,0.149,0.83,0.021
There But For The Grace Of God,Alan Parsons Project,0.9803,0.104,0.693,0.203
Time,Alan Parsons Project,0.9866,0.0,0.775,0.225
We Play The Game,Alan Parsons Project,0.9796,0.188,0.524,0.287
Make Me A Channel Of Your Peace,Aled Jones,0.9959,0.081,0.638,0.281
Walking In The Air,Aled Jones,0.7003,0.015,0.922,0.063
Apple Bush,Alice Cooper,0.8639,0.081,0.783,0.136
Ballad Of Dwight Fry,Alice Cooper,-0.9782,0.155,0.741,0.104
Be My Lover,Alice Cooper,0.9911,0.0,0.752,0.248
Be With You Awhile,Alice Cooper,0.9828,0.055,0.75,0.196
Between High School And The Old School,Alice Cooper,-0.9624,0.151,0.829,0.02
Blue Turk,Alice Cooper,-0.4227,0.189,0.638,0.172
"Changing, Arranging",Alice Cooper,0.755,0.077,0.815,0.109
Clones (We're All),Alice Cooper,-0.9911,0.226,0.744,0.03
Crawlin',Alice Cooper,-0.7476,0.065,0.909,0.026
Damned If You Do,Alice Cooper,-0.901,0.207,0.61,0.183
Dead Babies,Alice Cooper,-0.9905,0.217,0.752,0.031
Department Of Youth,Alice Cooper,-0.8517,0.077,0.889,0.035
Desperado,Alice Cooper,-0.9898,0.235,0.719,0.046
Devil's Food,Alice Cooper,0.959,0.12,0.566,0.313
Didn't We Meet,Alice Cooper,0.9281,0.099,0.757,0.145
Die For You,Alice Cooper,-0.8861,0.168,0.72,0.112
Dirty Diamonds,Alice Cooper,-0.9698,0.186,0.678,0.136
Disgraceland,Alice Cooper,-0.9349,0.155,0.729,0.116
Enough's Enough,Alice Cooper,-0.9882,0.182,0.73,0.087
For Britain Only,Alice Cooper,-0.9239,0.166,0.749,0.084
Gail,Alice Cooper,0.8126,0.0,0.918,0.082
Give It Up,Alice Cooper,-0.6444,0.06,0.894,0.046
Give The Radio Back,Alice Cooper,-0.9086,0.161,0.734,0.105
Goin' To The River,Alice Cooper,-0.9136,0.185,0.703,0.112
Headlines,Alice Cooper,0.9608,0.074,0.771,0.155
He's Back,Alice Cooper,0.714,0.051,0.877,0.072
I Better Be Good,Alice Cooper,0.9937,0.237,0.426,0.337
I Just Wanna Be God,Alice Cooper,0.9887,0.083,0.652,0.265
I Like Girls,Alice Cooper,0.9912,0.061,0.727,0.212
I Love America,Alice Cooper,0.9993,0.075,0.557,0.368
I Miss You,Alice Cooper,-0.9848,0.288,0.598,0.113
I Never Wrote Those Songs,Alice Cooper,-0.9297,0.144,0.835,0.021
I'm Alive,Alice Cooper,0.9796,0.16,0.585,0.255
It's Much Too Late,Alice Cooper,-0.8131,0.174,0.678,0.148
Killer,Alice Cooper,-0.4741,0.142,0.759,0.099
Lace And Whiskey,Alice Cooper,0.9202,0.066,0.828,0.107
Love's A Loaded Gun,Alice Cooper,-0.9924,0.195,0.749,0.056
Lullaby,Alice Cooper,0.9408,0.061,0.82,0.119
Millie And Billie,Alice Cooper,0.9713,0.164,0.612,0.225
Nuclear Infected,Alice Cooper,0.7203,0.153,0.667,0.18
Poison,Alice Cooper,-0.9915,0.247,0.544,0.209
Refrigerator Heaven,Alice Cooper,-0.0772,0.185,0.65,0.165
Remarkably Insincere,Alice Cooper,-0.9285,0.159,0.716,0.125
Angry Chair,Alice In Chains,-0.908,0.158,0.704,0.138
Dam That River,Alice In Chains,-0.8382,0.099,0.855,0.046
Fat Girls,Alice In Chains,0.9901,0.0,0.791,0.209
God Smack,Alice In Chains,0.8965,0.073,0.796,0.132
Grind,Alice In Chains,0.9629,0.07,0.739,0.191
Heaven N' Hell,Alice In Chains,-0.3153,0.17,0.6,0.23
Love Song,Alice In Chains,0.9013,0.118,0.689,0.193
No Excuses,Alice In Chains,0.8672,0.146,0.651,0.202
Over The Edge,Alice In Chains,0.3274,0.0,0.977,0.023
Private Hell,Alice In Chains,-0.1984,0.109,0.756,0.134
Put You Down,Alice In Chains,-0.9485,0.1,0.889,0.011
Queen Of The Rodeo,Alice In Chains,-0.985,0.202,0.713,0.084
Real Thing,Alice In Chains,0.9914,0.028,0.762,0.21
Rooster,Alice In Chains,0.8443,0.147,0.639,0.213
Rotten Apple,Alice In Chains,-0.9325,0.157,0.754,0.089
Sealed With A Kiss,Alice In Chains,0.9967,0.0,0.587,0.413
Shame In You,Alice In Chains,-0.9331,0.223,0.605,0.171
Sickman,Alice In Chains,-0.9977,0.312,0.608,0.08
Stay,Alice In Chains,-0.5831,0.187,0.683,0.131
Sunshine,Alice In Chains,0.993,0.049,0.618,0.333
Swing On This,Alice In Chains,0.9747,0.023,0.754,0.222
Whatcha Gonna Do,Alice In Chains,-0.8148,0.131,0.779,0.091
But You Know I Love You,Alison Krauss,0.9984,0.062,0.593,0.345
Dimming Of The Day,Alison Krauss,-0.2732,0.077,0.847,0.076
Dreaming My Dreams With You,Alison Krauss,0.9627,0.042,0.773,0.186
Faraway Land,Alison Krauss,0.4649,0.056,0.873,0.071
Foolish Heart,Alison Krauss,0.8485,0.099,0.779,0.122
Fortune Teller,Alison Krauss,-0.5267,0.085,0.86,0.055
Gentle River,Alison Krauss,0.9151,0.088,0.713,0.199
Gravity,Alison Krauss,0.6597,0.069,0.818,0.113
Here Comes Goodbye,Alison Krauss,-0.9517,0.145,0.793,0.062
I Can Let Go Now,Alison Krauss,0.4194,0.159,0.708,0.132
If I Give My Heart,Alison Krauss,0.9693,0.069,0.749,0.182
In The Palm Of Your Hand,Alison Krauss,0.9553,0.119,0.698,0.184
It Doesn't Matter,Alison Krauss,0.6251,0.166,0.751,0.083
It's Over,Alison Krauss,0.8063,0.062,0.816,0.122
Jesus Help Me To Stand,Alison Krauss,0.9442,0.196,0.533,0.271
Jubilee,Alison Krauss,-0.6369,0.092,0.859,0.049
Killing The Blues,Alison Krauss,0.2905,0.134,0.722,0.144
Lay Down Beside Me,Alison Krauss,0.946,0.064,0.781,0.155
Lay My Burden Down,Alison Krauss,0.959,0.067,0.813,0.12
Lie Awake,Alison Krauss,-0.5574,0.066,0.883,0.052
Lord Don't Forsake Me,Alison Krauss,-0.6072,0.079,0.876,0.045
Lucky One,Alison Krauss,0.9972,0.068,0.626,0.305
Maybe,Alison Krauss,0.9081,0.054,0.799,0.147
On The Borderline,Alison Krauss,0.9644,0.107,0.726,0.167
Paper Airplane,Alison Krauss,0.9718,0.123,0.679,0.198
Pastures Of Plenty,Alison Krauss,0.5574,0.049,0.866,0.086
Shield Of Faith,Alison Krauss,0.9573,0.1,0.699,0.201
Shimmy Down The Chimney (Fill Up My Stocking),Alison Krauss,0.9901,0.029,0.79,0.181
That Kind Of Love,Alison Krauss,0.9912,0.158,0.557,0.285
What'll I Do,Alison Krauss,-0.673,0.178,0.718,0.104
When God Dips His Pen Of Love In My Heart,Alison Krauss,0.9951,0.136,0.577,0.287
Who Can Blame You,Alison Krauss,-0.9895,0.224,0.73,0.046
Will You Be Leaving,Alison Krauss,0.9929,0.032,0.748,0.22
Your Long Journey,Alison Krauss,0.9952,0.051,0.619,0.329
Ain't No Good To Cry,Allman Brothers Band,0.1995,0.119,0.735,0.147
Bad Rain,Allman Brothers Band,-0.9954,0.194,0.753,0.053
Been Gone Too Long,Allman Brothers Band,-0.6844,0.14,0.724,0.136
Brothers Of The Road,Allman Brothers Band,0.8786,0.113,0.727,0.159
Demons,Allman Brothers Band,-0.837,0.142,0.74,0.118
Every Hungry Woman,Allman Brothers Band,0.9929,0.069,0.649,0.282
Good Time Feelin,Allman Brothers Band,0.9945,0.039,0.662,0.299
Leavin',Allman Brothers Band,0.8172,0.066,0.809,0.125
Let Me Ride,Allman Brothers Band,0.8817,0.04,0.87,0.09
Mean Old World,Allman Brothers Band,0.9719,0.0,0.809,0.191
Mean Woman Blues,Allman Brothers Band,0.9953,0.046,0.708,0.245
Midnight Blues,Allman Brothers Band,0.9246,0.0,0.828,0.172
Morning Dew,Allman Brothers Band,-0.8745,0.193,0.649,0.159
Mystery Woman,Allman Brothers Band,-0.5396,0.068,0.886,0.046
Nancy,Allman Brothers Band,-0.921,0.134,0.773,0.093
Need Your Love So Bad,Allman Brothers Band,-0.1652,0.187,0.624,0.189
Never Knew How Much,Allman Brothers Band,0.9417,0.047,0.82,0.133
No Money Down,Allman Brothers Band,-0.4453,0.11,0.755,0.135
Old Friend,Allman Brothers Band,0.9831,0.068,0.763,0.169
Sail Away,Allman Brothers Band,0.9451,0.015,0.851,0.135
Sailin' 'cross The Devil's Sea,Allman Brothers Band,-0.5296,0.193,0.644,0.164
Shine It On,Allman Brothers Band,-0.7864,0.089,0.844,0.067
Straight From The Heart,Allman Brothers Band,0.9601,0.05,0.76,0.19
The Heat Is On,Allman Brothers Band,0.0397,0.085,0.845,0.07
The Weight,Allman Brothers Band,0.9206,0.069,0.819,0.112
Things You Used To Do,Allman Brothers Band,-0.9853,0.241,0.691,0.068
Two Rights,Allman Brothers Band,-0.9615,0.178,0.74,0.082
Woman Across The River,Allman Brothers Band,0.2095,0.14,0.73,0.13
You Don't Love Me,Allman Brothers Band,-0.9428,0.25,0.596,0.153
Afternoons In Utopia,Alphaville,-0.7126,0.124,0.806,0.07
Ain't It Strange,Alphaville,-0.7972,0.177,0.649,0.173
Apollo,Alphaville,0.9932,0.096,0.669,0.234
Ariana,Alphaville,-0.5719,0.063,0.915,0.022
Ascension Day,Alphaville,-0.9743,0.198,0.667,0.134
Carol Masters,Alphaville,0.9806,0.054,0.792,0.154
Five Years,Alphaville,-0.1119,0.092,0.812,0.097
For The Sake Of Love,Alphaville,0.9985,0.059,0.586,0.355
Forever Young,Alphaville,0.9945,0.045,0.722,0.233
Giants,Alphaville,-0.9085,0.199,0.675,0.127
Girl From Pachacamac,Alphaville,0.9454,0.062,0.827,0.111
Golden Feeling,Alphaville,0.9844,0.081,0.688,0.231
Guardian Angel,Alphaville,-0.824,0.052,0.929,0.019
Headlines,Alphaville,-0.9721,0.179,0.746,0.075
Heart Of The Flower,Alphaville,0.9503,0.023,0.891,0.086
Heaven Or Hell,Alphaville,-0.2732,0.09,0.829,0.081
Here By Your Side,Alphaville,-0.0516,0.036,0.92,0.044
Iron John,Alphaville,-0.8271,0.119,0.807,0.073
Ivory Tower,Alphaville,-0.733,0.149,0.741,0.11
Middle Of The Riddle,Alphaville,0.5992,0.049,0.885,0.066
Monkey In The Moon,Alphaville,-0.9242,0.124,0.841,0.034
Moon Boy,Alphaville,0.9801,0.037,0.791,0.172
New Horizons,Alphaville,0.1779,0.03,0.927,0.044
Roll Away The Stone,Alphaville,0.7913,0.123,0.699,0.178
Sensations,Alphaville,0.918,0.019,0.899,0.081
Shadows She Said,Alphaville,-0.9747,0.148,0.841,0.011
Ship Of Fools,Alphaville,0.91,0.078,0.768,0.155
Sister Sun,Alphaville,0.9302,0.103,0.748,0.15
Some People,Alphaville,-0.8871,0.151,0.712,0.137
Soul Messiah,Alphaville,-0.9353,0.132,0.84,0.029
Sounds Like A Melody,Alphaville,0.9822,0.085,0.706,0.209
Summer In Berlin,Alphaville,0.9611,0.047,0.795,0.158
The Opium Den,Alphaville,0.4939,0.085,0.812,0.103
The Other Side Of You,Alphaville,0.9812,0.012,0.857,0.13
Wishful Thinking,Alphaville,-0.5647,0.134,0.76,0.106
A Horse With No Name,America,-0.9749,0.17,0.74,0.09
Bell Tree,America,-0.8477,0.152,0.848,0.0
Can't Fall Asleep To A Lullaby,America,0.9864,0.065,0.722,0.213
Can't You See,America,-0.5803,0.101,0.846,0.053
Cast The Spirit,America,-0.8586,0.114,0.796,0.091
Catch That Train,America,0.5267,0.0,0.98,0.02
Chasing The Rainbow,America,0.7782,0.022,0.926,0.051
Children,America,0.4588,0.013,0.946,0.041
Christmas In California,America,0.9958,0.101,0.581,0.318
Cinderella,America,0.9555,0.043,0.825,0.132
Clarice,America,-0.7184,0.055,0.945,0.0
Close To The Wind,America,0.9913,0.024,0.816,0.16
Company,America,0.0258,0.049,0.895,0.055
Desperate Love,America,0.9786,0.161,0.623,0.215
Don't Cry Baby,America,0.9752,0.056,0.775,0.169
Don't Let It Get You Down,America,0.8666,0.038,0.895,0.067
Down To The Water,America,0.7403,0.031,0.906,0.063
Even The Score,America,0.9282,0.043,0.865,0.092
Foolin',America,0.9081,0.128,0.678,0.194
Garden Of Peace,America,0.9962,0.037,0.699,0.264
Glad To See You,America,0.9702,0.027,0.805,0.168
God Of The Sun,America,-0.7717,0.054,0.93,0.016
Golden,America,0.8074,0.043,0.863,0.094
Goodbye,America,0.9627,0.102,0.664,0.234
Goodbye Highway,America,-0.9341,0.107,0.844,0.049
Have Yourself A Merry Little Christmas,America,0.9876,0.035,0.719,0.246
Here,America,0.0,0.0,1.0,0.0
High In The City,America,0.0,0.09,0.806,0.104
Hope,America,0.9988,0.046,0.589,0.365
In The Country,America,0.7684,0.0,0.935,0.065
In The Sea,America,-0.2263,0.058,0.902,0.04
International,America,0.9628,0.015,0.827,0.158
Jet Boy Blue,America,-0.813,0.158,0.708,0.134
Let It Snow,America,0.9859,0.11,0.689,0.202
Letter,America,0.9245,0.172,0.617,0.211
Lonely People,America,0.2263,0.04,0.905,0.055
Love's Worn Out Again,America,0.9919,0.14,0.612,0.248
Mad Dog,America,0.9217,0.059,0.79,0.151
Moon Song,America,0.4588,0.067,0.817,0.116
My Dear,America,0.9896,0.058,0.722,0.22
My Kinda Woman,America,0.998,0.05,0.712,0.238
Never Be Lonely,America,0.9299,0.06,0.783,0.157
Never Found The Time,America,0.7898,0.054,0.863,0.084
No Fortune,America,-0.7817,0.105,0.81,0.084
Old Virginia,America,0.3818,0.056,0.865,0.079
Oloololo,America,0.3612,0.0,0.974,0.026
One Morning,America,0.967,0.014,0.827,0.159
Playing God,America,0.9865,0.098,0.545,0.356
Ports-Of-Call,America,0.9376,0.023,0.883,0.094
Riverside,America,0.8898,0.0,0.834,0.166
Saturn Nights,America,0.9403,0.0,0.881,0.119
Seasons,America,-0.4767,0.049,0.93,0.02
She's A Liar,America,-0.9931,0.276,0.686,0.038
She's Gonna Let You Down,America,0.7273,0.076,0.831,0.093
Simple Life,America,0.8979,0.015,0.891,0.094
Sleigh Ride,America,0.998,0.007,0.78,0.212
Slow Down,America,0.995,0.018,0.77,0.212
Sometimes Lovers,America,0.9832,0.146,0.61,0.243
Submarine Ladies,America,0.9909,0.025,0.686,0.289
Take It Easy,America,0.9939,0.045,0.719,0.236
The Border,America,0.9502,0.024,0.922,0.054
These Brown Eyes,America,0.81,0.07,0.843,0.087
Today's The Day,America,0.9646,0.008,0.798,0.194
Town And Country,America,-0.3887,0.042,0.926,0.033
Valentine,America,0.9946,0.012,0.764,0.224
A Christmas To Remember,Amy Grant,0.9643,0.011,0.808,0.18
Abide With Me,Amy Grant,-0.2982,0.203,0.608,0.189
After The Fire,Amy Grant,0.7861,0.065,0.814,0.122
Ageless Medley,Amy Grant,0.9919,0.067,0.809,0.124
All I Ever Have To Be,Amy Grant,0.9326,0.057,0.786,0.157
Baby Baby,Amy Grant,0.9967,0.06,0.686,0.254
Beautiful Music,Amy Grant,0.9941,0.079,0.664,0.257
Christmas Can't Be Very Far Away,Amy Grant,0.95,0.03,0.83,0.141
Christmas Lullaby,Amy Grant,0.9926,0.038,0.657,0.305
Do You Remember The Time,Amy Grant,0.9092,0.095,0.762,0.143
Every Heartbeat,Amy Grant,0.9972,0.034,0.738,0.228
Father,Amy Grant,0.9493,0.074,0.744,0.182
Fill Me With Your Love,Amy Grant,0.9963,0.046,0.624,0.33
I Will Remember You,Amy Grant,0.9843,0.029,0.785,0.185
If You Have To Go Away,Amy Grant,0.9912,0.041,0.798,0.16
It's Not A Song,Amy Grant,-0.6728,0.089,0.869,0.042
Jehovah,Amy Grant,0.9986,0.012,0.745,0.243
Life's Gonna Change,Amy Grant,0.8578,0.018,0.914,0.069
Mountain Top,Amy Grant,0.998,0.034,0.666,0.3
Nobody Home,Amy Grant,-0.4854,0.092,0.831,0.077
Not Giving Up,Amy Grant,-0.9739,0.187,0.728,0.085
Nothing Is Beyond You,Amy Grant,-0.9521,0.138,0.779,0.083
O Little Town,Amy Grant,0.7577,0.069,0.783,0.148
O Love That Will Not Let Me Go,Amy Grant,0.9375,0.05,0.755,0.194
"O Master, Let Me Walk With Thee",Amy Grant,0.9826,0.05,0.663,0.286
O Sacred Head,Amy Grant,-0.9001,0.246,0.625,0.129
Old Man's Rubble,Amy Grant,-0.9896,0.136,0.819,0.044
Out In The Open,Amy Grant,0.9942,0.059,0.757,0.184
Santa's Reindeer Ride,Amy Grant,0.9794,0.007,0.831,0.162
Say Once More,Amy Grant,0.9993,0.04,0.692,0.268
So Glad,Amy Grant,0.859,0.058,0.831,0.111
Sweet Will Of God,Amy Grant,0.9618,0.103,0.689,0.208
The Power,Amy Grant,-0.9455,0.201,0.648,0.151
The Things We Do For Love,Amy Grant,0.9803,0.051,0.789,0.159
Power Of Love,Andrea Bocelli,0.946,0.065,0.785,0.15
Sogno,Andrea Bocelli,0.0,0.0,1.0,0.0
Someone Like You,Andrea Bocelli,0.9987,0.023,0.674,0.303
Voglio Restare Cosi,Andrea Bocelli,0.8745,0.056,0.777,0.167
When A Child Is Born,Andrea Bocelli,0.802,0.04,0.87,0.089
A Fool Never Learns,Andy Williams,0.9331,0.145,0.678,0.176
Baby Doll,Andy Williams,0.9733,0.021,0.822,0.157
Christmas Needs Love To Be Christmas,Andy Williams,0.9944,0.049,0.652,0.299
Days Of Wine And Roses,Andy Williams,0.8176,0.055,0.796,0.149
Falling In Love With Love,Andy Williams,0.9969,0.038,0.511,0.451
I Will Wait For You,Andy Williams,0.9217,0.0,0.894,0.106
If I Could Only Go Back Again,Andy Williams,0.9678,0.034,0.783,0.183
I'm So Lonesome I Could Cry,Andy Williams,-0.9845,0.363,0.637,0.0
It's A Most Unusual Day,Andy Williams,0.9403,0.017,0.841,0.142
Love Song Of Kalua,Andy Williams,0.9813,0.022,0.688,0.29
Love Story,Andy Williams,0.9785,0.028,0.796,0.176
May Each Day,Andy Williams,0.9944,0.018,0.681,0.301
More Today Than Yesterday,Andy Williams,0.9981,0.0,0.675,0.325
My Sweet Lord,Andy Williams,0.9987,0.0,0.644,0.356
One Day Of Your Life,Andy Williams,0.7469,0.0,0.957,0.043
Quiet Night Of Quiet Stars,Andy Williams,0.4404,0.124,0.746,0.13
Say It Isn't So,Andy Williams,-0.5994,0.09,0.844,0.066
Show Me,Andy Williams,0.9325,0.078,0.769,0.154
So Rare,Andy Williams,0.9974,0.0,0.678,0.322
Still Under The Weather,Andy Williams,-0.5228,0.124,0.769,0.107
The Bilbao Song,Andy Williams,0.9955,0.005,0.808,0.186
Walk Hand In Hand,Andy Williams,0.9967,0.026,0.557,0.417
Where Or When,Andy Williams,0.9731,0.0,0.775,0.225
Winter Wonderland,Andy Williams,0.8161,0.068,0.832,0.099
Words By Lorenz Hart And Music By Richard Rodgers,Andy Williams,0.7459,0.014,0.928,0.059
Wouldn't It Be Loverly,Andy Williams,0.6628,0.129,0.691,0.18
Wrong For Each Other,Andy Williams,-0.9705,0.255,0.647,0.098
You Don't Want My Love,Andy Williams,-0.9907,0.18,0.806,0.014
Back Together,Annie,0.5962,0.056,0.875,0.069
Carring The Banner,Annie,0.9402,0.047,0.814,0.14
Heartbeat,Annie,0.9719,0.047,0.805,0.148
We Got Annie,Annie,0.9775,0.0,0.738,0.262
We'D Like To Thank You,Annie,0.7463,0.07,0.842,0.087
Baby I,Ariana Grande,0.7962,0.055,0.872,0.074
Break Free,Ariana Grande,0.9858,0.058,0.735,0.206
Direct Contact,Ariana Grande,-0.8648,0.145,0.781,0.074
Higher,Ariana Grande,-0.9442,0.135,0.817,0.049
Honeymoon Avenue,Ariana Grande,-0.9814,0.147,0.761,0.092
Just A Little Bit Of Your Heart,Ariana Grande,-0.069,0.051,0.892,0.056
Not Just On Christmas,Ariana Grande,0.9674,0.058,0.727,0.214
Pink Champagne,Ariana Grande,0.9957,0.039,0.738,0.223
Right There,Ariana Grande,0.9957,0.028,0.847,0.124
Why Try,Ariana Grande,-0.0516,0.177,0.641,0.182
A Smile In Your Heart,Ariel Rivera,0.9919,0.025,0.742,0.234
Both Inlove,Ariel Rivera,0.8959,0.098,0.753,0.149
I Don't Love You Anymore (duet With Lea Salonga),Ariel Rivera,0.7946,0.09,0.796,0.114
Minamahal Pala Kita,Ariel Rivera,0.0,0.0,1.0,0.0
All Over The World,Arlo Guthrie,0.9698,0.0,0.872,0.128
Anytime,Arlo Guthrie,0.6124,0.095,0.769,0.136
Buffalo Skinners,Arlo Guthrie,0.9104,0.092,0.771,0.137
Children Of Abraham,Arlo Guthrie,-0.5789,0.159,0.708,0.133
Coming Into Los Angeles,Arlo Guthrie,0.8295,0.022,0.906,0.072
Cowboy Song,Arlo Guthrie,0.9836,0.016,0.819,0.164
Dead Or Alive,Arlo Guthrie,-0.994,0.352,0.411,0.238
Drowning Man,Arlo Guthrie,0.2649,0.115,0.766,0.12
Eli,Arlo Guthrie,0.0616,0.109,0.789,0.101
Evangelina,Arlo Guthrie,0.9719,0.057,0.808,0.134
Every Hand In The Land,Arlo Guthrie,-0.3476,0.093,0.817,0.09
Gates Of Eden,Arlo Guthrie,-0.9647,0.157,0.727,0.115
Hobo's Lullaby,Arlo Guthrie,0.3031,0.136,0.712,0.152
I Ride On Old Pain,Arlo Guthrie,-0.1655,0.098,0.84,0.062
Jacob's Ladder,Arlo Guthrie,0.0,0.0,1.0,0.0
Jamaica Farewell,Arlo Guthrie,0.5023,0.081,0.815,0.104
John Looked Down,Arlo Guthrie,-0.8321,0.086,0.866,0.048
Last Night I Had The Strangest Dream,Arlo Guthrie,0.3786,0.06,0.837,0.103
Last To Leave,Arlo Guthrie,0.8761,0.094,0.768,0.137
Last Train,Arlo Guthrie,0.9347,0.074,0.756,0.17
Lay Down Little Doggies,Arlo Guthrie,-0.936,0.091,0.909,0.0
Living Like A Legend,Arlo Guthrie,0.9621,0.08,0.77,0.15
Lord Grenville,Arlo Guthrie,0.5267,0.037,0.911,0.052
Lovesick Blues,Arlo Guthrie,0.9914,0.065,0.668,0.267
Manzanillo Bay,Arlo Guthrie,0.8957,0.032,0.877,0.091
Massachusetts,Arlo Guthrie,0.9917,0.006,0.837,0.157
Miss The Mississippi And You,Arlo Guthrie,-0.9001,0.217,0.68,0.103
Mystic Journey,Arlo Guthrie,0.9584,0.024,0.867,0.109
Now And Then,Arlo Guthrie,0.9087,0.0,0.885,0.115
Oklahoma Hills,Arlo Guthrie,0.9595,0.0,0.891,0.109
Patriot's Dream,Arlo Guthrie,0.9294,0.064,0.78,0.156
Percy's Song,Arlo Guthrie,0.3405,0.078,0.837,0.084
Power Of Love,Arlo Guthrie,0.9468,0.194,0.544,0.262
Prologue,Arlo Guthrie,0.9835,0.058,0.774,0.168
Ridin' Down The Canyon,Arlo Guthrie,0.9186,0.038,0.892,0.07
Sailing Down This Golden River,Arlo Guthrie,0.8176,0.025,0.871,0.104
Shenandoah,Arlo Guthrie,0.7845,0.031,0.904,0.065
Somebody Turned On The Light,Arlo Guthrie,0.4719,0.093,0.799,0.108
Someday,Arlo Guthrie,0.7747,0.032,0.874,0.094
Telephone,Arlo Guthrie,0.9427,0.039,0.84,0.121
The Gal I Left Behind,Arlo Guthrie,0.9861,0.042,0.768,0.19
The Motorcycle Song,Arlo Guthrie,0.5478,0.108,0.798,0.094
The Motorcycle Song (In Album Arlo),Arlo Guthrie,0.9173,0.047,0.894,0.058
The Pause Of Mr. Claus,Arlo Guthrie,0.2577,0.044,0.914,0.042
The Streets Of Laredo,Arlo Guthrie,0.4707,0.118,0.757,0.126
This Land Is Your Land,Arlo Guthrie,0.7531,0.008,0.954,0.039
This Troubled Mind Of Mine,Arlo Guthrie,-0.7096,0.114,0.803,0.083
Ukulele Lady,Arlo Guthrie,0.9826,0.044,0.762,0.194
Uncle Jeff,Arlo Guthrie,0.868,0.036,0.824,0.14
Under Cover Of Night,Arlo Guthrie,0.3772,0.097,0.814,0.089
Unemployment Line,Arlo Guthrie,-0.9153,0.123,0.846,0.031
Utah Carroll,Arlo Guthrie,-0.9786,0.14,0.763,0.097
Victor Jara,Arlo Guthrie,0.9914,0.085,0.709,0.206
Wheel Of Fortune,Arlo Guthrie,-0.6908,0.089,0.874,0.037
When A Soldier Makes It Home,Arlo Guthrie,-0.9447,0.111,0.821,0.068
When The Cactus Is In Bloom,Arlo Guthrie,0.6779,0.011,0.938,0.051
When The Ship Comes In,Arlo Guthrie,0.6199,0.045,0.897,0.058
You And Me,Arlo Guthrie,0.9931,0.02,0.722,0.258
A Man Has Needs,Arrogant Worms,0.8078,0.055,0.871,0.074
Baby Poo,Arrogant Worms,-0.296,0.071,0.86,0.07
Big Fat Road Manager,Arrogant Worms,-0.6746,0.034,0.947,0.019
Billy Themepark Shark,Arrogant Worms,-0.9633,0.154,0.741,0.105
Bottle Of Booze,Arrogant Worms,0.9651,0.054,0.846,0.101
Boy Band,Arrogant Worms,0.8722,0.087,0.793,0.12
Carrot Juice Is Murder,Arrogant Worms,-0.9943,0.196,0.729,0.074
Celine Dion,Arrogant Worms,0.9555,0.062,0.814,0.124
Christmas Blues,Arrogant Worms,-0.9608,0.185,0.685,0.13
Christmas Hangover,Arrogant Worms,-0.6583,0.149,0.714,0.138
Christmas In Ignace,Arrogant Worms,0.9764,0.023,0.838,0.14
Christmas Sucks,Arrogant Worms,-0.985,0.182,0.741,0.077
